username,group,inc_dia,inc_sym,hints,num_solved,tot_time,tot_time_sym,prop_hint_steps,prop_first_try,prop_first_try_sym,avg_inc_sym,avg_hints_sym,avg_tps,avg_tps_sym
slowfish,odd_int,23,66,39,22,948.368,758.035,0.017045454545454544,0.9090909090909091,0.8761061946902655,0.584070796460177,0.34513274336283184,5.388454545454546,6.708274336283186
slowlion,eve_int,0,70,54,8,1624.45,1624.45,0.1951219512195122,0.5609756097560976,0.5609756097560976,1.7073170731707317,1.3170731707317074,39.62073170731708,39.62073170731708
slowlion,odd_int,11,81,53,9,1147.349,932.849,0.08196721311475409,0.7049180327868853,0.5853658536585366,1.975609756097561,1.2926829268292683,18.808999999999997,22.752414634146344
slowmonkey,eve_int,0,31,63,13,602.5,602.5,0.234375,0.75,0.75,0.484375,0.984375,9.4140625,9.4140625
slowmonkey,odd_int,39,187,116,14,2183.944,2015.944,0.13333333333333333,0.6190476190476191,0.5142857142857142,2.6714285714285713,1.6571428571428573,20.799466666666667,28.7992
slowotter,eve_int,0,60,156,15,893.75,893.75,0.125,0.7692307692307693,0.7692307692307693,0.5769230769230769,1.5,8.59375,8.59375
slowotter,odd_int,28,44,143,15,1368.494,1005.329,0.0896551724137931,0.7793103448275862,0.7333333333333333,0.41904761904761906,1.361904761904762,9.437889655172413,9.574561904761904
slowowl,eve_int,0,68,9,16,938.737,938.737,0.02,0.93,0.93,0.68,0.09,9.387369999999999,9.387369999999999
slowowl,odd_int,13,180,43,17,1732.263,1554.43,0.02,0.84,0.794392523364486,1.6822429906542056,0.40186915887850466,11.54842,14.527383177570094
slowrabbit,eve_int,0,34,19,21,2178,2178,0.026490066225165563,0.9072847682119205,0.9072847682119205,0.2251655629139073,0.12582781456953643,14.42384105960265,14.42384105960265
slowrabbit,odd_int,3,14,2,21,1132.505,799.504,0.011904761904761904,0.9523809523809523,0.9238095238095239,0.13333333333333333,0.01904761904761905,6.741101190476191,7.6143238095238095
slowshark,odd_int,2,58,8,1,497.034,490.7,0.2,0,0,4.142857142857143,0.5714285714285714,33.1356,35.05
slowswan,eve_int,0,0,1,4,341,341,0.07692307692307693,0.9230769230769231,0.9230769230769231,0,0.07692307692307693,26.23076923076923,26.23076923076923
slowswan,odd_int,4,0,3,4,834.834,499.167,0.047619047619047616,0.9523809523809523,0.9230769230769231,0,0.23076923076923078,39.754,38.397461538461535
smallbee,eve_dia,14,20,18,13,809.088,641.921,0.022988505747126436,0.9080459770114943,0.8888888888888888,0.37037037037037035,0.3333333333333333,9.299862068965517,11.887425925925927
smallbee,odd_dia,8,197,34,13,1849.284,1704.784,0.06542056074766354,0.6728971962616822,0.5526315789473685,2.5921052631578947,0.4473684210526316,17.28302803738318,22.431368421052632
smallbird,eve_dia,0,0,0,26,826.671,547.005,0,1,1,0,0,3.8993915094339626,4.143977272727272
smallbird,odd_dia,2,17,0,26,1016.007,721.673,0,0.981042654028436,0.9696969696969697,0.12878787878787878,0,4.8151990521327015,5.467219696969697
smallbison,eve_dia,34,66,0,14,659.207,450.872,0,0.9148936170212766,0.896551724137931,1.1379310344827587,0,7.012840425531915,7.773655172413793
smallbison,odd_dia,37,304,0,15,977.944,780.11,0,0.8073394495412844,0.7464788732394366,4.28169014084507,0,8.971963302752293,10.987464788732394
smallcat,eve_dia,1,0,0,24,523.678,379.345,0,1,1,0,0,2.7274895833333335,3.1612083333333336
smallcat,odd_dia,2,6,0,24,749.506,524.675,0,0.9946808510638298,0.9914529914529915,0.05128205128205128,0,3.9867340425531914,4.484401709401709
